config,fold,true_label_index,true_label_ar,predicted_label_index,predicted_label_ar,count,share_of_true_class
full_absolute_masked_mean,01,14,ض,27,ي,40,0.8
full_absolute_masked_mean,01,21,ك,11,س,32,0.64
full_absolute_masked_mean,01,1,ب,22,ل,26,0.5
full_absolute_masked_mean,01,3,ث,25,ه,26,0.52
full_absolute_masked_mean,01,7,د,16,ظ,24,0.48
full_absolute_masked_mean,01,20,ق,19,ف,23,0.46
full_absolute_masked_mean,01,5,ح,6,خ,20,0.4
full_absolute_masked_mean,01,18,غ,6,خ,20,0.4
full_absolute_masked_mean,01,0,ا,6,خ,19,0.38
full_absolute_masked_mean,01,21,ك,12,ش,18,0.36
full_absolute_masked_mean,02,16,ظ,15,ط,35,0.7
full_absolute_masked_mean,02,10,ز,2,ت,30,0.6
full_absolute_masked_mean,02,0,ا,6,خ,25,0.5
full_absolute_masked_mean,02,24,ن,7,د,22,0.44
full_absolute_masked_mean,02,14,ض,13,ص,21,0.42
full_absolute_masked_mean,02,19,ف,26,و,20,0.4
full_absolute_masked_mean,02,1,ب,20,ق,17,0.34
full_absolute_masked_mean,02,0,ا,14,ض,17,0.34
full_absolute_masked_mean,02,17,ع,10,ز,17,0.34
full_absolute_masked_mean,02,22,ل,24,ن,12,0.24
full_absolute_masked_mean,03,2,ت,10,ز,25,0.5
full_absolute_masked_mean,03,13,ص,14,ض,22,0.44
full_absolute_masked_mean,03,26,و,0,ا,20,0.4
full_absolute_masked_mean,03,3,ث,2,ت,20,0.4
full_absolute_masked_mean,03,22,ل,1,ب,18,0.35294117647058826
full_absolute_masked_mean,03,22,ل,24,ن,18,0.35294117647058826
full_absolute_masked_mean,03,19,ف,20,ق,15,0.3
full_absolute_masked_mean,03,5,ح,4,ج,15,0.30612244897959184
full_absolute_masked_mean,03,12,ش,21,ك,14,0.28
full_absolute_masked_mean,03,16,ظ,15,ط,13,0.26
